年,韓国,中国,台湾,米国,香港,タイ,豪州,英国,フィリピン,カナダ,シンガポール,マレーシア,フランス,ドイツ,インドネシア,ベトナム,インド,イタリア,ロシア,ニュージーランド,スペイン,オランダ,ブラジル,スウェーデン,マカオ,スイス,メキシコ,ネパール,ベルギー,フィンランド,イスラエル,モンゴル,デンマーク,オーストリア,アイルランド,スリランカ,ポルトガル,ポーランド,ノルウェー,トルコ,ミャンマー,パキスタン,アルゼンチン,バングラデシュ,ルーマニア,南アフリカ共和国,チェコ,カンボジア,サウジアラビア,ハンガリー,ウクライナ,イラン,ペルー,ギリシャ,コロンビア,チリ,アラブ首長国連邦,ウズベキスタン,エジプト,カザフスタン,リトアニア,ラオス,ブルガリア,アフガニスタン,エストニア,スロバキア,スロベニア,セルビア,クロアチア,クウェート,ベネズエラ,ドミニカ共和国,ラトビア,ケニア,コスタリカ,チュニジア,モロッコ,ブルネイ,ナイジェリア,カタール,ベラルーシ,ルクセンブルク,ヨルダン,ウルグアイ,エクアドル,キルギス,グアテマラ,アイスランド,ガーナ,イラク,フィジー,モーリシャス,ジャマイカ,レバノン,キプロス,パナマ,タンザニア,ウガンダ,アルジェリア,シリア,エチオピア,ボリビア,マルタ,オマーン,アゼルバイジャン,ジョージア,パプアニューギニア,ホンジュラス,カメルーン,スーダン,セネガル,トリニダード・トバゴ,ブータン,キューバ,バーレーン,ザンビア,パラグアイ,ジンバブエ,エルサルバドル,ミクロネシア,コンゴ民主共和国,モザンビーク,パラオ,北マケドニア,タジキスタン,東ティモール,コートジボワール,トルクメニスタン,トンガ,イエメン,アルメニア,マラウイ,パレスチナ,モルディブ,アンゴラ,ボスニア・ヘルツェゴビナ,ニカラグア,マダガスカル,アルバニア,ブルキナファソ,モルドバ,ボツワナ,ルワンダ,リビア,ナミビア,ソロモン,ベナン,サモア,ギニア,北朝鮮,マーシャル,リヒテンシュタイン,バハマ,マリ,セントクリストファー・ネーヴィス,コソボ共和国,バルバドス,アンドラ,モンテネグロ,ガボン,モナコ,ハイチ,バヌアツ,南スーダン共和国,トーゴ,リベリア,スリナム,エスワティニ,キリバス,レソト,ジプチ,シエラレオネ,ニジェール,ガンビア,コンゴ共和国,ブルンジ,ベリーズ,モーリタニア,ガイアナ,サンマリノ,セーシェル,エリトリア,コモロ,ツバル,ドミニカ,チャド,アンティグア・バーブーダ,セントルシア,ソマリア,グレナダ,ナウル,カーボベルデ,セントビンセント,ギニアビサウ,赤道ギニア,中央アフリカ,バチカン,サントメ・プリンシペ,無国籍・その他
2014,2755313,2409158,2829821,891668,925975,657570,302656,220060,184204,182865,227962,249521,178570,140254,158739,124266,87967,80531,64077,41622,60542,39866,32310,40125,47315,33150,30436,24008,18934,19661,18808,16927,17901,15398,12596,14051,14439,17883,15230,14766,13774,9151,7211,8340,6013,6992,7178,7454,6379,6676,4981,4247,2762,4523,4952,4287,3973,2221,4114,2712,2345,3530,3168,2556,1873,2788,1973,1655,1837,1959,1946,1359,1400,1625,1227,1307,1247,2202,1805,1356,1157,995,1435,1127,1094,923,837,959,1013,984,707,770,768,1033,568,597,917,730,611,619,625,598,465,744,587,405,507,428,391,565,422,502,473,306,405,430,393,310,377,531,426,418,350,341,279,478,354,266,223,389,266,271,256,300,314,197,242,185,154,181,187,211,169,253,164,146,132,186,91,4,152,124,122,113,99,145,102,82,99,80,107,107,72,59,67,60,77,54,59,90,83,48,56,50,92,47,60,50,55,55,46,43,41,43,30,32,41,34,26,17,18,23,19,12,11,16,12,8,660
2015,4002095,4993689,3677075,1033258,1524292,796731,376075,258488,268361,231390,308783,305447,214228,162580,205083,185395,103084,103198,54365,49402,77186,49973,34017,46977,84261,40398,36808,28881,24354,22655,21928,19890,21717,18184,14318,17222,18666,24296,18597,17274,16795,10525,19399,9718,8099,7493,9680,10144,6903,7776,5012,4955,3201,5339,5576,5728,4948,2942,4739,2970,3800,4285,3795,3112,3191,3266,2468,1839,2406,2358,1921,1738,1803,1963,1484,1789,1515,2534,1386,1677,1223,1491,1476,1317,1572,1013,953,1223,860,1038,727,851,938,1236,730,733,862,852,907,684,998,727,495,689,602,464,689,610,468,698,406,624,502,498,551,453,481,511,530,496,535,469,434,381,358,360,375,409,242,262,266,325,329,322,264,242,235,212,239,248,200,203,180,159,173,247,203,139,101,9,183,199,100,112,132,120,98,164,103,130,91,112,103,112,95,71,81,156,65,89,87,49,89,66,71,61,56,65,64,52,57,51,38,46,56,41,45,33,26,23,36,27,32,26,22,9,9,5,848
2016,5090302,6373564,4167512,1242719,1839193,901525,445332,292458,347861,273213,361807,394268,253449,183288,271014,233763,122939,119251,54839,56323,91849,58249,36888,49624,99425,44232,43509,33564,30182,23699,29436,21408,23830,20947,16377,24672,21424,31554,19171,18155,19437,11988,14143,11559,9495,8421,12288,12287,7587,8864,6346,5610,4564,5936,8701,7671,6270,3351,5020,3259,4360,4521,5044,2945,3750,4179,2632,2435,2917,2467,1744,1986,2484,1919,2052,1804,1774,3032,1427,1783,1427,1564,1547,1427,1487,1037,1319,1387,1292,1018,907,1182,1087,1219,891,1112,853,762,885,755,696,685,754,810,563,507,727,688,458,603,571,528,634,525,644,469,502,509,586,615,465,417,569,409,384,433,376,319,322,308,310,320,396,317,278,275,302,271,257,249,246,205,201,150,187,254,203,153,183,0,173,141,109,144,161,97,150,155,135,85,118,109,95,104,80,103,95,63,114,119,93,93,61,70,84,79,92,62,51,75,63,75,44,31,31,73,31,39,38,48,23,30,24,18,9,11,11,11,1122
2017,7140438,7355818,4564053,1374964,2231568,987211,495054,310499,424121,305591,404132,439548,268605,195606,352330,308898,134371,125864,77251,64873,99814,63041,42207,50805,115304,47154,63440,39950,32054,25310,32758,23365,25235,21035,18591,27904,23442,28727,20786,19123,22915,13729,18610,12878,10390,9057,11114,17857,7554,9148,7094,6457,4549,6703,8795,11027,7106,4380,4283,4125,4177,5398,4529,2889,3169,4089,3027,2929,3084,2833,1837,2156,2487,1796,2688,1879,2234,3699,1254,1699,1591,1863,1704,1696,1940,1228,1503,1323,1175,1113,1082,1278,1241,1518,1018,1133,851,898,982,761,801,723,828,879,645,633,801,886,671,651,673,564,1270,525,653,530,525,480,735,698,451,580,674,393,383,461,355,393,345,325,347,326,327,377,204,346,327,373,302,272,257,226,239,175,145,226,178,207,242,84,238,186,176,122,208,133,177,197,131,106,136,120,129,128,77,119,117,76,106,78,93,107,68,64,57,57,77,72,80,71,60,66,74,52,53,27,43,49,43,56,42,12,20,13,10,5,12,10,847
2018,7538952,8380034,4757258,1526407,2207804,1132160,552440,333979,503976,330600,437280,468360,304896,215336,396852,389005,154029,150060,94810,73208,118901,72069,44201,53822,108694,52099,68448,44297,34387,27116,39193,27647,29163,24187,20319,27789,26506,34706,22569,19762,24418,15802,23692,13971,12250,9793,12255,21696,7403,10440,8458,5161,5048,7968,9966,14089,7782,5530,4942,4391,4498,5987,5106,3045,3226,4862,3187,3066,3407,2939,1707,2558,2551,1948,2860,2250,2615,3626,1666,2343,2204,2183,1618,2108,2316,1446,1815,1514,1485,1180,1520,1575,1259,1559,1469,1304,809,843,939,814,731,789,1208,840,727,839,806,954,812,631,660,714,947,634,669,660,669,484,838,607,452,480,524,540,538,389,393,315,325,373,359,331,328,454,200,383,274,325,346,298,287,264,233,159,164,290,208,183,168,13,288,229,231,151,194,165,159,215,154,106,207,105,117,112,108,104,147,54,114,82,90,81,72,77,95,85,81,64,72,76,37,60,57,59,67,36,75,50,50,57,46,45,35,27,10,20,9,10,673
2019,5584597,9594394,4890602,1723861,2290792,1318977,621771,424279,613114,375262,492252,501592,336333,236544,412779,495051,175896,162769,120043,94115,130243,79479,47575,53836,121197,53908,71745,51577,39245,29437,44214,31513,32893,27530,39387,28380,32349,38534,24838,22724,30977,17208,23805,15174,14837,19543,14356,28492,11152,12696,10176,5252,6022,9494,11745,13370,8891,5243,6345,5431,5260,6154,6324,3069,3379,5836,3347,3824,4099,3465,1831,3009,2701,2388,3232,2573,2708,4866,2269,3019,2506,2740,1669,2475,2406,1695,2170,1672,1567,1319,2038,1866,1483,1710,1982,1463,882,1157,1029,987,997,1020,1575,878,1028,1640,891,980,1031,594,941,842,736,701,817,629,675,723,1080,609,655,494,511,692,518,387,574,898,503,511,504,333,373,526,388,420,408,434,491,401,345,312,472,169,433,247,268,277,296,13,290,194,315,233,200,214,240,235,195,143,188,125,231,147,173,163,188,154,109,123,163,123,155,116,97,76,108,94,88,100,108,67,91,81,85,52,70,81,86,53,45,68,44,30,48,43,29,15,728
2020,487939,1069256,694476,219307,346020,219830,143508,51024,109110,53365,55273,76573,43102,29785,77724,152559,26931,13691,22260,16070,11741,8481,6888,7622,12234,6036,9528,17191,4074,4859,2315,7118,4780,3605,3270,8918,3179,3996,3620,2886,10884,6145,4220,4444,1409,1623,1679,7420,1039,1302,1466,720,1191,1091,1098,3381,770,1290,1294,890,672,1169,627,1453,584,664,493,477,470,467,294,599,393,576,495,429,356,742,376,144,343,229,318,614,219,468,229,251,336,185,299,195,407,167,202,236,178,211,130,227,183,151,145,82,116,105,152,127,176,135,208,130,191,81,103,141,132,146,127,69,115,117,64,67,109,112,65,51,98,81,79,91,47,82,35,65,40,61,73,68,56,67,47,25,36,42,41,18,47,0,24,24,18,49,41,27,17,17,11,17,25,15,21,21,17,19,18,9,9,15,18,24,16,14,17,10,23,14,16,2,7,6,10,7,9,5,11,10,25,7,5,7,7,5,4,2,2,1,107
2021,18947,42239,5016,20026,1252,2758,3265,7294,5625,3536,857,1831,7024,5197,5209,26586,8831,3527,3723,1404,3053,1860,2731,1112,54,1387,1124,11648,1122,736,619,1685,794,888,820,3127,728,1350,557,1161,1531,4284,798,1789,552,838,753,784,402,1034,1070,746,254,744,476,276,203,1567,1187,601,272,150,338,1723,224,377,308,470,414,117,289,247,197,575,93,368,285,23,435,149,405,69,171,79,155,287,96,79,238,122,107,55,261,99,96,94,93,182,241,188,192,41,29,88,283,187,43,66,153,87,136,91,45,343,117,116,79,92,56,6,89,88,27,51,166,30,123,55,25,36,104,54,42,47,71,77,29,34,52,54,93,70,71,56,71,19,64,8,53,0,13,17,39,40,7,52,33,9,95,30,12,31,8,35,43,28,8,13,10,35,24,30,37,40,30,29,7,25,18,22,11,30,11,11,8,12,17,10,14,14,7,18,10,23,11,17,1,12,33
2022,1012751,189125,331097,323513,269285,198037,88648,57496,126842,55877,131969,74095,52782,45748,119723,284113,54314,23683,10324,12107,15926,12064,9436,7900,1359,8917,9152,75200,6611,4608,7673,19267,5403,5025,4458,21536,3176,5745,3736,7129,22763,11423,2198,11981,2376,2561,2487,13618,2403,2511,3795,2152,1196,1869,1495,1902,2705,5157,2223,1511,1286,1804,1024,3216,753,949,676,768,634,560,320,802,631,994,518,790,661,1159,938,494,359,407,628,258,358,1345,344,318,642,399,376,287,354,317,376,218,409,431,246,506,407,263,236,276,295,236,237,195,349,214,340,171,271,246,187,319,192,351,241,50,300,187,148,105,347,194,126,188,135,94,125,158,118,133,70,114,55,129,80,79,128,97,105,99,85,40,98,48,114,0,41,54,49,86,63,48,35,14,36,65,25,47,56,78,60,53,21,24,21,48,46,32,16,60,25,49,14,33,13,12,12,21,30,8,43,8,22,24,32,14,6,10,12,8,0,6,4,2,118
=======
﻿年,韓国,中国,台湾,米国,香港,タイ,豪州,英国,フィリピン,カナダ,シンガポール,マレーシア,フランス,ドイツ,インドネシア,ベトナム,インド,イタリア,ロシア,ニュージーランド,スペイン,オランダ,ブラジル,スウェーデン,マカオ,スイス,メキシコ,ネパール,ベルギー,フィンランド,イスラエル,モンゴル,デンマーク,オーストリア,アイルランド,スリランカ,ポルトガル,ポーランド,ノルウェー,トルコ,ミャンマー,パキスタン,アルゼンチン,バングラデシュ,ルーマニア,南アフリカ共和国,チェコ,カンボジア,サウジアラビア,ハンガリー,ウクライナ,イラン,ペルー,ギリシャ,コロンビア,チリ,アラブ首長国連邦,ウズベキスタン,エジプト,カザフスタン,リトアニア,ラオス,ブルガリア,アフガニスタン,エストニア,スロバキア,スロベニア,セルビア,クロアチア,クウェート,ベネズエラ,ドミニカ共和国,ラトビア,ケニア,コスタリカ,チュニジア,モロッコ,ブルネイ,ナイジェリア,カタール,ベラルーシ,ルクセンブルク,ヨルダン,ウルグアイ,エクアドル,キルギス,グアテマラ,アイスランド,ガーナ,イラク,フィジー,モーリシャス,ジャマイカ,レバノン,キプロス,パナマ,タンザニア,ウガンダ,アルジェリア,シリア,エチオピア,ボリビア,マルタ,オマーン,アゼルバイジャン,ジョージア,パプアニューギニア,ホンジュラス,カメルーン,スーダン,セネガル,トリニダード・トバゴ,ブータン,キューバ,バーレーン,ザンビア,パラグアイ,ジンバブエ,エルサルバドル,ミクロネシア,コンゴ民主共和国,モザンビーク,パラオ,北マケドニア,タジキスタン,東ティモール,コートジボワール,トルクメニスタン,トンガ,イエメン,アルメニア,マラウイ,パレスチナ,モルディブ,アンゴラ,ボスニア・ヘルツェゴビナ,ニカラグア,マダガスカル,アルバニア,ブルキナファソ,モルドバ,ボツワナ,ルワンダ,リビア,ナミビア,ソロモン,ベナン,サモア,ギニア,北朝鮮,マーシャル,リヒテンシュタイン,バハマ,マリ,セントクリストファー・ネーヴィス,コソボ共和国,バルバドス,アンドラ,モンテネグロ,ガボン,モナコ,ハイチ,バヌアツ,南スーダン共和国,トーゴ,リベリア,スリナム,エスワティニ,キリバス,レソト,ジプチ,シエラレオネ,ニジェール,ガンビア,コンゴ共和国,ブルンジ,ベリーズ,モーリタニア,ガイアナ,サンマリノ,セーシェル,エリトリア,コモロ,ツバル,ドミニカ,チャド,アンティグア・バーブーダ,セントルシア,ソマリア,グレナダ,ナウル,カーボベルデ,セントビンセント,ギニアビサウ,赤道ギニア,中央アフリカ,バチカン,サントメ・プリンシペ,無国籍・その他
1990,740441,105993,607721,554753,152563,74678,56238,101927,108108,63850,43015,57752,51014,65818,41447,1045,27878,29798,24706,,16150,17573,,15648,,,,,8818,8941,7644,,7788,8144,,,,3588,5088,4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,861820,130487,658106,543075,155092,107770,54520,102859,114383,62306,42882,77423,50119,61227,43263,1320,26978,30199,31828,,16554,18044,,14763,,,,,8013,9192,9010,,7806,7957,,,,2182,5263,3175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,864052,183220,715487,560940,177672,97234,59844,104395,105195,69620,40956,60894,48605,63930,40647,1759,26159,26866,26386,21014,13580,18253,41487,14888,189,15237,10045,,7812,7901,8411,,9254,8024,5176,6206,6180,2196,5316,3511,2999,6711,4980,,,3016,1781,198,,0,,14999,15378,3578,2772,1935,,,1861,,,,,,,,,,,,1428,,,,,,,,,,,,,,,,,,,,,,,479,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831
1993,845423,206743,668581,533401,152452,70946,69439,107488,91199,72395,38446,46165,49178,62795,37552,2500,23847,25283,31897,21014,9443,17872,33444,14040,129,15346,9934,0,7790,7734,8155,,8511,8054,5607,4092,6667,2131,5820,3739,2308,5495,4818,0,,2973,1510,239,,0,,3978,10839,3409,3233,1954,,,2078,,,,,,,596,,,,,1531,,,,,,,0,,,,,,,,,,,,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874
1994,918459,192856,647408,531352,145249,60422,77736,119861,104509,74087,40657,42854,52447,64708,35676,3086,23091,24726,26845,25090,9998,18290,37592,15055,53,15512,8886,2020,8056,7558,6303,,8883,8257,6197,4250,5540,2588,5362,3343,2259,4873,5200,3130,,3093,1841,378,,2785,,3210,9741,3059,3308,1962,,,2338,,,,,,,724,,,,,1206,,,,,,,868,,,,,,,,,,,,,,,,391,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050
1995,873635,220715,578651,539899,97865,53941,77102,126967,76605,75303,40729,47744,54069,68317,36035,4863,24452,24896,25979,27428,11378,19663,49320,15667,118,17086,7512,2496,8031,7664,6032,,8757,8344,6890,4837,4246,2820,6038,4095,2393,4680,4028,3316,,3202,2320,473,,3542,,2611,5065,2427,3118,2176,,,2253,,,,,,,703,,,,,1244,,,,,,,916,,,,,,,,,,,,,,,,389,,,,,,,,,,,,,,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877
1996,994362,241525,720297,586836,170134,64078,88499,141112,68231,85101,51066,51788,57445,76002,44094,6069,27188,28468,28671,25198,12215,19931,48163,17276,46,16991,8355,3044,8742,7855,6949,,9381,9393,8021,5357,4947,3066,6598,4275,2994,5251,4578,3520,,3225,2561,632,,2900,,2763,2842,2548,2692,2145,,,2201,,,,,,,996,,,,,1212,,,,,,,775,,,,,,,,,,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802
1997,1010571,260627,820234,621737,265745,60008,101460,165446,82011,94171,61392,54122,61947,82560,49330,7127,32319,30732,32990,27997,11663,22093,31320,19742,40,18742,10058,3070,9560,9254,8240,,9776,10130,10561,6711,5256,3353,7996,4976,2787,6131,4693,3783,,3731,2688,688,,3079,,3511,4295,2804,2717,2486,,,2337,,,,,,,1363,,,,,1564,,,,,,,936,,,,,,,,,,,,,,,,504,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4331
1998,724445,267180,843088,666700,356861,44827,123681,181533,82346,106884,58817,41225,67102,86194,27441,7433,33298,30553,29722,27709,13754,23501,23136,20243,91,16976,10611,3042,9925,10439,8353,,9520,9936,10710,7644,6909,3771,8393,4687,2552,6308,4875,3506,,3578,3094,709,,3979,,3864,2691,2807,2401,1862,,,2607,,,,,,,1335,,,,,1564,,,,,,,755,,,,,,,,,,,,,,,,488,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4940
1999,942674,294937,931411,697630,252870,55819,135303,182894,93346,106734,67529,52256,70201,87312,43241,8817,35930,30091,25126,28975,12749,24332,15922,20373,73,16605,11015,3062,10824,10722,8735,,9607,9210,10187,7042,7735,4651,7234,4823,2981,6346,3959,3868,,3438,3509,843,,3871,,3866,3466,3171,2408,2103,,,2741,,,,,,,1284,,,,,1579,,,,,,,480,,,,,,,,,,,,,,,,576,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3284
2000,1064390,351788,912814,725954,243149,64778,147393,192930,112182,119168,73745,62163,79079,88309,53838,9964,38767,33506,32000,31252,14161,27506,16953,20916,1208,17152,12433,3418,11062,11107,11660,,10139,9976,10627,6494,7785,4592,7164,5328,3297,6451,6154,4645,,4476,3513,1084,,4325,,3950,3547,2963,2738,2192,,,2682,,,,,,,1341,,,,,1669,,,,,,,549,,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710
2001,1133971,391384,807202,692192,262229,66174,149621,197965,124072,125570,69517,59122,82710,87740,56557,11722,40345,35254,34771,33196,13097,24039,13934,19525,1637,17068,11987,3819,10989,9791,10313,6492,9794,9661,10654,7257,6917,4492,6733,4685,2885,6112,4249,4853,6123,4499,4297,1443,,4195,2958,3734,3271,3069,2948,1976,,,2516,,,1092,1461,,,1490,,,964,,1650,,,,,,,620,1597,,,,,,574,,,,905,,,,,546,,,,,,,,622,,,,,,,,,,,,,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2209
