年,韓国,中国,台湾,米国,香港,タイ,豪州,英国,フィリピン,カナダ,シンガポール,マレーシア,フランス,ドイツ,インドネシア,ベトナム,インド,イタリア,ロシア,ニュージーランド,スペイン,オランダ,ブラジル,スウェーデン,マカオ,スイス,メキシコ,ネパール,ベルギー,フィンランド,イスラエル,モンゴル,デンマーク,オーストリア,アイルランド,スリランカ,ポルトガル,ポーランド,ノルウェー,トルコ,ミャンマー,パキスタン,アルゼンチン,バングラデシュ,ルーマニア,南アフリカ共和国,チェコ,カンボジア,サウジアラビア,ハンガリー,ウクライナ,イラン,ペルー,ギリシャ,コロンビア,チリ,アラブ首長国連邦,ウズベキスタン,エジプト,カザフスタン,リトアニア,ラオス,ブルガリア,アフガニスタン,エストニア,スロバキア,スロベニア,セルビア,クロアチア,クウェート,ベネズエラ,ドミニカ共和国,ラトビア,ケニア,コスタリカ,チュニジア,モロッコ,ブルネイ,ナイジェリア,カタール,ベラルーシ,ルクセンブルク,ヨルダン,ウルグアイ,エクアドル,キルギス,グアテマラ,アイスランド,ガーナ,イラク,フィジー,モーリシャス,ジャマイカ,レバノン,キプロス,パナマ,タンザニア,ウガンダ,アルジェリア,シリア,エチオピア,ボリビア,マルタ,オマーン,アゼルバイジャン,ジョージア,パプアニューギニア,ホンジュラス,カメルーン,スーダン,セネガル,トリニダード・トバゴ,ブータン,キューバ,バーレーン,ザンビア,パラグアイ,ジンバブエ,エルサルバドル,ミクロネシア,コンゴ民主共和国,モザンビーク,パラオ,北マケドニア,タジキスタン,東ティモール,コートジボワール,トルクメニスタン,トンガ,イエメン,アルメニア,マラウイ,パレスチナ,モルディブ,アンゴラ,ボスニア・ヘルツェゴビナ,ニカラグア,マダガスカル,アルバニア,ブルキナファソ,モルドバ,ボツワナ,ルワンダ,リビア,ナミビア,ソロモン,ベナン,サモア,ギニア,北朝鮮,マーシャル,リヒテンシュタイン,バハマ,マリ,セントクリストファー・ネーヴィス,コソボ共和国,バルバドス,アンドラ,モンテネグロ,ガボン,モナコ,ハイチ,バヌアツ,南スーダン共和国,トーゴ,リベリア,スリナム,エスワティニ,キリバス,レソト,ジプチ,シエラレオネ,ニジェール,ガンビア,コンゴ共和国,ブルンジ,ベリーズ,モーリタニア,ガイアナ,サンマリノ,セーシェル,エリトリア,コモロ,ツバル,ドミニカ,チャド,アンティグア・バーブーダ,セントルシア,ソマリア,グレナダ,ナウル,カーボベルデ,セントビンセント,ギニアビサウ,赤道ギニア,中央アフリカ,バチカン,サントメ・プリンシペ,無国籍・その他
2002,1271835,452420,877709,731900,290624,72696,164896,219271,129100,131542,76688,64346,87034,93936,55668,14158,45394,36396,37963,32762,15344,24050,14513,20973,2518,17509,23699,3689,11596,9391,10620,6719,10924,10150,17771,8684,9246,5070,6906,6135,3018,5599,3786,5072,7166,4750,4265,1461,,4394,3676,4142,3179,3479,3365,2351,,,2655,,,1200,1553,,,1875,,,1664,,1673,,,,,,,724,1851,,,,,,2260,,,,905,,,,,739,,,,,,,,623,,,,,,,,,,,,,,,,,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954
2003,1459333,448782,785379,655821,260214,80022,172134,200543,137584,126065,76896,65369,85179,93571,64637,17094,47520,35826,44512,31589,14772,25127,11520,18708,2852,17331,11087,4004,10925,10414,10039,6584,10567,10011,10689,8784,9327,5245,7322,6653,2945,5381,4058,5862,7315,4595,4723,1664,,3855,4346,4666,2902,3029,2598,1825,,,2581,,,1843,1490,,,1958,,,1143,,957,,,,,,,651,1441,,,,,,406,,,,932,,857,,,585,,,,,,,,608,,,,,421,,,,,,216,,,,,,305,273,,,334,,,,,,359,,,,,125,,,,,,,,,,,,119,,158,,85,81,,,,,,,,,,,,63,,,,,,122,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,1363
2004,1588472,616009,1080590,759753,300246,104864,194276,215704,154588,142091,90001,72445,95894,106297,55259,19056,53000,38923,56554,34679,18619,29434,13061,21102,2232,20094,16489,4503,12020,11793,10932,5942,11054,11559,11480,9341,11440,6117,8097,6685,3301,5894,3336,6896,7196,5107,4917,1890,,4397,4202,4222,2575,3356,2547,2113,,,2574,,,1505,1850,,,1891,,,1077,,1313,,,,,,,653,1293,,,,,,556,,,,829,,737,,,711,,,,,,,,671,,,,,377,,,,,,256,,,,,,356,291,,,379,,,,,,290,,,,,153,,,,,,,,,,,,93,,185,,131,88,,,,,,,,,,,,65,,,,,,98,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,814
2005,1747171,652820,1274612,822033,298810,120238,206179,221535,139572,150012,94161,78173,110822,118429,58974,22138,58572,44691,63609,34981,25729,30507,17201,23097,1771,23230,18623,5349,14162,12895,11334,7453,12382,12319,13712,10697,10673,6910,8696,6967,3639,6551,3793,6884,6787,5953,5832,2423,,4405,4579,4623,3280,4278,2764,2383,,,3072,,,1542,2301,,,1766,,,1598,,2033,,,,,,,762,1286,,,,,,840,,,,821,,1002,,,804,,,,,,,,935,,,,,507,,,,,,336,,,,,,409,403,,,501,,,,,,265,,,,,156,,,,,,,,,,,,182,,191,,128,171,,,,,,,,,,,,78,,,,,,112,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,968
2006,2117325,811675,1309121,816727,352265,125704,195094,216476,95530,157438,115870,85627,117785,115337,59911,25637,62505,46407,60654,32339,26685,30592,18135,25299,3101,22520,20374,5676,13131,15242,11586,8531,12992,12853,12623,10218,12246,7694,8480,8123,3942,7045,4046,6487,4099,5777,4784,2174,,4269,4015,3624,2565,4866,2641,2409,,,3218,,,1649,2186,,,1790,,,1386,,1744,,,,,,,818,1060,,,,,,629,,,,886,,940,,,779,,,,,,,,629,,,,,400,,,,,,234,,,,,,405,323,,,474,,,,,,367,,,,,202,,,,,,,,,,,,100,,123,,36,80,,,,,,,,,,,,102,,,,,,76,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,1048
2007,2600694,942439,1385255,815882,432042,167481,222518,221945,89532,165993,151860,100890,137787,125193,64178,31909,67583,54022,64244,34737,33478,33290,18853,29792,7979,23996,28203,6478,14828,18870,12511,9668,14305,13217,13681,10676,13351,9027,10668,7902,4679,7630,5240,6149,3823,6020,5943,2652,,5540,4385,4344,2554,4315,3019,2736,,,3294,,,1820,2485,,,2123,,,1596,,2066,,,,,,,1088,1212,,,,,,707,,,,915,,1055,,,950,,,,,,,,554,,,,,420,,,,,,282,,,,,,375,328,,,470,,,,,,305,,,,,201,,,,,,,,,,,,125,,179,,23,75,,,,,,,,,,,,97,,,,,,83,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,940
2008,2382397,1000416,1390228,768345,550190,191881,242031,206564,82177,168307,167894,105663,147580,126207,66593,34794,67323,56243,66270,33682,40852,34487,20981,30129,21676,24364,24194,8253,15773,20025,13173,10378,14486,13453,12513,9535,10280,10265,10848,9730,5106,7328,4358,6168,3698,5610,5792,2701,2201,4821,4313,4384,2370,4494,3181,2764,1204,,3956,,,2160,2742,,,2285,,,1700,,2366,,,,,,,1150,1413,,,,,,890,,,,859,,1096,,,896,,,,,,,,459,,,,,366,,,,,,247,,,,,,388,337,,,302,,,,,,344,,,,,196,,,,,,,,,,,,153,,126,,26,89,,,,,,,,,,,,95,,,,,,80,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,1107
2009,1586772,1006085,1024292,699919,449568,177541,211659,181460,71485,152756,145224,89509,141251,110692,63617,34221,58918,59607,46952,31567,42484,31186,16899,26384,17199,23091,16454,9221,13899,17797,12205,8946,13116,13684,10450,8538,8463,8638,9855,7838,4905,7335,4379,6360,3550,4290,4943,3008,2750,4455,3442,4898,2164,4350,2973,2667,1180,,3402,,,2145,2434,,,1786,,,1325,,2174,,,,,,,1138,1298,,,,,,683,,,,792,,816,,,787,,,,,,,,459,,,,,483,,,,,,292,,,,,,281,293,,,295,,,,,,339,,,,,175,,,,,,,,,,,,134,,160,,20,78,,,,,,,,,,,,113,,,,,,66,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,640
2010,2439816,1412875,1268278,727234,508691,214881,225751,184045,77377,153303,180960,114519,151011,124360,80632,41862,66819,62394,51457,32061,44076,32837,21393,29188,21330,26005,19248,9484,15981,16960,14189,9940,14606,14440,10738,9570,10313,10253,10302,9929,5095,7762,4896,6213,4664,4635,5319,3189,3749,4371,3710,4831,2452,4363,3052,3053,2175,,3589,,,2209,2238,,,2192,,,1402,884,1928,,,,,,,1388,1376,518,,,,,845,,,,957,,625,,,935,,,,,,,,518,,560,,,767,,,,,,321,,363,,,,357,355,,,285,,,,,,246,,,,,216,,,,,,,,,,,,151,,169,,8,104,,,,,,,,,,,,103,,,,,,88,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,663
2011,1658073,1043246,993974,565887,364865,144969,162578,140099,63099,101299,111354,81516,95438,80772,61911,41048,59354,34035,33793,23996,20814,23450,18470,21806,13292,16410,13080,11041,10708,10943,6931,10437,10821,8539,8294,10040,6227,7451,7905,6577,5106,8120,3768,6118,3227,3942,4525,3069,2866,3182,2874,3787,1857,2459,2238,2579,1045,,2584,,,2111,1783,,,1356,,,918,647,1262,,,,,,,971,1035,565,,,,,480,,,,799,,576,,,611,,,,,,,,384,,344,,,417,,,,,,404,,221,,,,291,351,,,262,,,,,,224,,,,,199,,,,,,,,,,,,141,,150,,51,75,,,,,,,,,,,,67,,,,,,68,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,493
2012,2042775,1425100,1465753,716709,481665,260640,206404,173994,85037,135355,142201,130183,130412,108898,101460,55156,68914,51801,50176,31853,35207,30266,32111,30458,19040,24329,18502,13082,14608,15529,10413,13376,13594,11633,10358,11125,8408,10668,11447,10508,6924,9196,5239,6310,4797,5708,5485,3662,4208,4531,4190,4187,2306,3074,3308,3538,2027,1913,3651,2063,1403,2676,2345,2283,1154,2161,1276,1157,1335,975,2137,965,869,1353,817,998,839,1378,1446,931,923,682,1107,642,754,628,594,732,1095,1143,711,581,660,820,290,493,829,655,625,819,541,477,227,546,496,378,566,324,454,487,368,475,416,362,413,452,406,366,346,473,330,303,289,227,191,290,279,166,305,250,276,305,244,237,286,132,205,163,164,177,176,181,169,260,145,167,127,190,111,40,148,99,65,86,65,121,109,46,88,108,62,144,98,69,109,115,64,63,97,76,67,67,56,38,59,69,41,57,45,31,49,52,31,68,18,39,15,22,4,8,23,22,20,13,26,25,6,11,498
2013,2456165,1314437,2210821,799280,745881,453642,244569,191798,108351,152766,189280,176521,154892,121776,136797,84469,75095,67228,60502,36954,44461,33861,27105,36206,32797,28322,23338,18065,16558,16523,14478,15038,15065,13015,11258,12885,11604,15525,14085,12464,9533,9011,6357,6900,5293,5828,6869,4842,5227,5170,4808,3148,2369,4031,4176,4031,2892,2085,3742,2545,1906,3243,2659,2418,1344,2397,1524,1346,1593,1339,2919,1247,1059,1431,861,1149,896,1986,1359,980,1050,814,1109,872,869,788,731,767,1049,1272,776,635,647,948,399,525,962,704,614,545,614,587,289,572,496,283,579,323,494,520,420,504,489,466,395,460,406,397,381,477,341,485,324,301,221,339,348,262,279,329,216,336,232,292,354,157,251,177,150,229,202,253,185,379,183,216,178,140,134,4,168,89,101,119,76,98,100,69,63,194,75,117,93,111,113,102,80,225,83,96,73,91,72,97,63,57,58,58,45,44,62,28,41,33,21,72,26,33,29,15,35,23,15,10,24,8,6,8,489
2014,2755313,2409158,2829821,891668,925975,657570,302656,220060,184204,182865,227962,249521,178570,140254,158739,124266,87967,80531,64077,41622,60542,39866,32310,40125,47315,33150,30436,24008,18934,19661,18808,16927,17901,15398,12596,14051,14439,17883,15230,14766,13774,9151,7211,8340,6013,6992,7178,7454,6379,6676,4981,4247,2762,4523,4952,4287,3973,2221,4114,2712,2345,3530,3168,2556,1873,2788,1973,1655,1837,1959,1946,1359,1400,1625,1227,1307,1247,2202,1805,1356,1157,995,1435,1127,1094,923,837,959,1013,984,707,770,768,1033,568,597,917,730,611,619,625,598,465,744,587,405,507,428,391,565,422,502,473,306,405,430,393,310,377,531,426,418,350,341,279,478,354,266,223,389,266,271,256,300,314,197,242,185,154,181,187,211,169,253,164,146,132,186,91,4,152,124,122,113,99,145,102,82,99,80,107,107,72,59,67,60,77,54,59,90,83,48,56,50,92,47,60,50,55,55,46,43,41,43,30,32,41,34,26,17,18,23,19,12,11,16,12,8,660
2015,4002095,4993689,3677075,1033258,1524292,796731,376075,258488,268361,231390,308783,305447,214228,162580,205083,185395,103084,103198,54365,49402,77186,49973,34017,46977,84261,40398,36808,28881,24354,22655,21928,19890,21717,18184,14318,17222,18666,24296,18597,17274,16795,10525,19399,9718,8099,7493,9680,10144,6903,7776,5012,4955,3201,5339,5576,5728,4948,2942,4739,2970,3800,4285,3795,3112,3191,3266,2468,1839,2406,2358,1921,1738,1803,1963,1484,1789,1515,2534,1386,1677,1223,1491,1476,1317,1572,1013,953,1223,860,1038,727,851,938,1236,730,733,862,852,907,684,998,727,495,689,602,464,689,610,468,698,406,624,502,498,551,453,481,511,530,496,535,469,434,381,358,360,375,409,242,262,266,325,329,322,264,242,235,212,239,248,200,203,180,159,173,247,203,139,101,9,183,199,100,112,132,120,98,164,103,130,91,112,103,112,95,71,81,156,65,89,87,49,89,66,71,61,56,65,64,52,57,51,38,46,56,41,45,33,26,23,36,27,32,26,22,9,9,5,848
2016,5090302,6373564,4167512,1242719,1839193,901525,445332,292458,347861,273213,361807,394268,253449,183288,271014,233763,122939,119251,54839,56323,91849,58249,36888,49624,99425,44232,43509,33564,30182,23699,29436,21408,23830,20947,16377,24672,21424,31554,19171,18155,19437,11988,14143,11559,9495,8421,12288,12287,7587,8864,6346,5610,4564,5936,8701,7671,6270,3351,5020,3259,4360,4521,5044,2945,3750,4179,2632,2435,2917,2467,1744,1986,2484,1919,2052,1804,1774,3032,1427,1783,1427,1564,1547,1427,1487,1037,1319,1387,1292,1018,907,1182,1087,1219,891,1112,853,762,885,755,696,685,754,810,563,507,727,688,458,603,571,528,634,525,644,469,502,509,586,615,465,417,569,409,384,433,376,319,322,308,310,320,396,317,278,275,302,271,257,249,246,205,201,150,187,254,203,153,183,0,173,141,109,144,161,97,150,155,135,85,118,109,95,104,80,103,95,63,114,119,93,93,61,70,84,79,92,62,51,75,63,75,44,31,31,73,31,39,38,48,23,30,24,18,9,11,11,11,1122
2017,7140438,7355818,4564053,1374964,2231568,987211,495054,310499,424121,305591,404132,439548,268605,195606,352330,308898,134371,125864,77251,64873,99814,63041,42207,50805,115304,47154,63440,39950,32054,25310,32758,23365,25235,21035,18591,27904,23442,28727,20786,19123,22915,13729,18610,12878,10390,9057,11114,17857,7554,9148,7094,6457,4549,6703,8795,11027,7106,4380,4283,4125,4177,5398,4529,2889,3169,4089,3027,2929,3084,2833,1837,2156,2487,1796,2688,1879,2234,3699,1254,1699,1591,1863,1704,1696,1940,1228,1503,1323,1175,1113,1082,1278,1241,1518,1018,1133,851,898,982,761,801,723,828,879,645,633,801,886,671,651,673,564,1270,525,653,530,525,480,735,698,451,580,674,393,383,461,355,393,345,325,347,326,327,377,204,346,327,373,302,272,257,226,239,175,145,226,178,207,242,84,238,186,176,122,208,133,177,197,131,106,136,120,129,128,77,119,117,76,106,78,93,107,68,64,57,57,77,72,80,71,60,66,74,52,53,27,43,49,43,56,42,12,20,13,10,5,12,10,847
2018,7538952,8380034,4757258,1526407,2207804,1132160,552440,333979,503976,330600,437280,468360,304896,215336,396852,389005,154029,150060,94810,73208,118901,72069,44201,53822,108694,52099,68448,44297,34387,27116,39193,27647,29163,24187,20319,27789,26506,34706,22569,19762,24418,15802,23692,13971,12250,9793,12255,21696,7403,10440,8458,5161,5048,7968,9966,14089,7782,5530,4942,4391,4498,5987,5106,3045,3226,4862,3187,3066,3407,2939,1707,2558,2551,1948,2860,2250,2615,3626,1666,2343,2204,2183,1618,2108,2316,1446,1815,1514,1485,1180,1520,1575,1259,1559,1469,1304,809,843,939,814,731,789,1208,840,727,839,806,954,812,631,660,714,947,634,669,660,669,484,838,607,452,480,524,540,538,389,393,315,325,373,359,331,328,454,200,383,274,325,346,298,287,264,233,159,164,290,208,183,168,13,288,229,231,151,194,165,159,215,154,106,207,105,117,112,108,104,147,54,114,82,90,81,72,77,95,85,81,64,72,76,37,60,57,59,67,36,75,50,50,57,46,45,35,27,10,20,9,10,673
2019,5584597,9594394,4890602,1723861,2290792,1318977,621771,424279,613114,375262,492252,501592,336333,236544,412779,495051,175896,162769,120043,94115,130243,79479,47575,53836,121197,53908,71745,51577,39245,29437,44214,31513,32893,27530,39387,28380,32349,38534,24838,22724,30977,17208,23805,15174,14837,19543,14356,28492,11152,12696,10176,5252,6022,9494,11745,13370,8891,5243,6345,5431,5260,6154,6324,3069,3379,5836,3347,3824,4099,3465,1831,3009,2701,2388,3232,2573,2708,4866,2269,3019,2506,2740,1669,2475,2406,1695,2170,1672,1567,1319,2038,1866,1483,1710,1982,1463,882,1157,1029,987,997,1020,1575,878,1028,1640,891,980,1031,594,941,842,736,701,817,629,675,723,1080,609,655,494,511,692,518,387,574,898,503,511,504,333,373,526,388,420,408,434,491,401,345,312,472,169,433,247,268,277,296,13,290,194,315,233,200,214,240,235,195,143,188,125,231,147,173,163,188,154,109,123,163,123,155,116,97,76,108,94,88,100,108,67,91,81,85,52,70,81,86,53,45,68,44,30,48,43,29,15,728
2020,487939,1069256,694476,219307,346020,219830,143508,51024,109110,53365,55273,76573,43102,29785,77724,152559,26931,13691,22260,16070,11741,8481,6888,7622,12234,6036,9528,17191,4074,4859,2315,7118,4780,3605,3270,8918,3179,3996,3620,2886,10884,6145,4220,4444,1409,1623,1679,7420,1039,1302,1466,720,1191,1091,1098,3381,770,1290,1294,890,672,1169,627,1453,584,664,493,477,470,467,294,599,393,576,495,429,356,742,376,144,343,229,318,614,219,468,229,251,336,185,299,195,407,167,202,236,178,211,130,227,183,151,145,82,116,105,152,127,176,135,208,130,191,81,103,141,132,146,127,69,115,117,64,67,109,112,65,51,98,81,79,91,47,82,35,65,40,61,73,68,56,67,47,25,36,42,41,18,47,0,24,24,18,49,41,27,17,17,11,17,25,15,21,21,17,19,18,9,9,15,18,24,16,14,17,10,23,14,16,2,7,6,10,7,9,5,11,10,25,7,5,7,7,5,4,2,2,1,107
2021,18947,42239,5016,20026,1252,2758,3265,7294,5625,3536,857,1831,7024,5197,5209,26586,8831,3527,3723,1404,3053,1860,2731,1112,54,1387,1124,11648,1122,736,619,1685,794,888,820,3127,728,1350,557,1161,1531,4284,798,1789,552,838,753,784,402,1034,1070,746,254,744,476,276,203,1567,1187,601,272,150,338,1723,224,377,308,470,414,117,289,247,197,575,93,368,285,23,435,149,405,69,171,79,155,287,96,79,238,122,107,55,261,99,96,94,93,182,241,188,192,41,29,88,283,187,43,66,153,87,136,91,45,343,117,116,79,92,56,6,89,88,27,51,166,30,123,55,25,36,104,54,42,47,71,77,29,34,52,54,93,70,71,56,71,19,64,8,53,0,13,17,39,40,7,52,33,9,95,30,12,31,8,35,43,28,8,13,10,35,24,30,37,40,30,29,7,25,18,22,11,30,11,11,8,12,17,10,14,14,7,18,10,23,11,17,1,12,33
2022,1012751,189125,331097,323513,269285,198037,88648,57496,126842,55877,131969,74095,52782,45748,119723,284113,54314,23683,10324,12107,15926,12064,9436,7900,1359,8917,9152,75200,6611,4608,7673,19267,5403,5025,4458,21536,3176,5745,3736,7129,22763,11423,2198,11981,2376,2561,2487,13618,2403,2511,3795,2152,1196,1869,1495,1902,2705,5157,2223,1511,1286,1804,1024,3216,753,949,676,768,634,560,320,802,631,994,518,790,661,1159,938,494,359,407,628,258,358,1345,344,318,642,399,376,287,354,317,376,218,409,431,246,506,407,263,236,276,295,236,237,195,349,214,340,171,271,246,187,319,192,351,241,50,300,187,148,105,347,194,126,188,135,94,125,158,118,133,70,114,55,129,80,79,128,97,105,99,85,40,98,48,114,0,41,54,49,86,63,48,35,14,36,65,25,47,56,78,60,53,21,24,21,48,46,32,16,60,25,49,14,33,13,12,12,21,30,8,43,8,22,24,32,14,6,10,12,8,0,6,4,2,118
>>>>>>> main
