symbol,date,open,high,low,close,volume
AMZN,2014/1/2,398.8,399.36,394.02,397.97,2140246
AMZN,2014/1/3,398.29,402.71,396.22,396.44,2213512
AMZN,2014/1/6,395.85,397,388.42,393.63,3172207
AMZN,2014/1/7,395.04,398.47,394.29,398.03,1916684
AMZN,2014/1/8,398.47,403,396.04,401.92,2316903
AMZN,2014/1/9,403.71,406.89,398.44,401.01,2103793
AMZN,2014/1/10,402.53,403.764,393.8,397.66,2681701
AMZN,2014/1/13,397.98,399.78,388.45,390.98,2846507
AMZN,2014/1/14,392.13,398.63,391.29,397.54,2340401
AMZN,2014/1/15,398.94,399.31,392.534,395.87,2678794
AMZN,2014/1/16,393.68,399.29,389.41,395.8,2602506
AMZN,2014/1/17,394.26,403.49,393.66,399.61,4508791
AMZN,2014/1/21,403,407.8,401.6,407.05,3122705
AMZN,2014/1/22,408,408.06,402,404.54,2069759
AMZN,2014/1/23,401,406.17,397.79,399.87,3026272
AMZN,2014/1/24,398.16,400.2,387.27,387.6,4513038
AMZN,2014/1/27,390.5,394.1,380.49,386.28,3944752
AMZN,2014/1/28,387.4,394.74,387.12,394.43,2901611
AMZN,2014/1/29,392.16,392.85,383.24,384.2,3399294
AMZN,2014/1/30,393.77,406.25,387.7,403.01,10900116
AMZN,2014/1/31,371.76,375.45,357.76,358.69,16181519
AMZN,2014/2/3,358.98,360.85,340.1,346.15,10290934
AMZN,2014/2/4,349.59,353.9975,344.02,347.95,4821177
AMZN,2014/2/5,346,349.37,337.73,346.45,4439010
AMZN,2014/2/6,347.403,354.82,347.403,354.59,3340542
AMZN,2014/2/7,358.98,361.8,352.49,361.08,4347189
AMZN,2014/2/10,361.61,365,359.35,360.87,3451093
AMZN,2014/2/11,361.842,363.61,356.25,361.79,3225200
AMZN,2014/2/12,356.43,357.75,346.32,349.25,6599199
AMZN,2014/2/13,347.7,357.2,346.5,357.2,4181445
AMZN,2014/2/14,359.34,359.34,353.35,357.35,3524570
AMZN,2014/2/18,355.28,355.73,349.45,353.65,5000493
AMZN,2014/2/19,352.64,354.54,346.1,347.38,4175393
AMZN,2014/2/20,348.8,350.46,344.38,349.8,3496663
AMZN,2014/2/21,352.44,354.141,346.75,346.76,4212144
AMZN,2014/2/24,345.19,353,343.29,351.78,3647182
AMZN,2014/2/25,353,361.08,351.58,358.32,3747076
AMZN,2014/2/26,359.86,364.75,357.17,359.8,3622506
AMZN,2014/2/27,357.22,360.59,355.5,360.13,3105442
AMZN,2014/2/28,360.6,365.865,357.084,362.1,3885207
AMZN,2014/3/3,358.735,360.96,354.48,359.78,2798230
AMZN,2014/3/4,363.9,365.68,362.46,363.9,2706843
AMZN,2014/3/5,364.13,372.728,363.9,372.37,3862706
AMZN,2014/3/6,374.05,375.33,368.9,372.16,2927497
AMZN,2014/3/7,374.58,374.99,369.531,372.06,2280358
AMZN,2014/3/10,372.69,372.73,367,370.53,2107820
AMZN,2014/3/11,370.99,372.8,367.28,368.82,2248019
AMZN,2014/3/12,366.4,371.16,363.61,370.64,2219663
AMZN,2014/3/13,376.62,383.11,368.08,371.51,6829047
AMZN,2014/3/14,372.8,378.568,371.55,373.74,4402220
AMZN,2014/3/17,375.72,378.85,374.88,375.04,2306821
AMZN,2014/3/18,377.32,379,375,378.77,2483508
AMZN,2014/3/19,378.77,379,369.42,373.23,2646687
AMZN,2014/3/20,370.64,373,366.22,368.97,2558460
AMZN,2014/3/21,371,372.84,358.4,360.62,5417935
AMZN,2014/3/24,360.09,361.5,348.6,351.85,4879627
AMZN,2014/3/25,354.03,358.97,348.84,354.71,4455703
AMZN,2014/3/26,357.13,357.6,343.4,343.41,4120665
AMZN,2014/3/27,343.15,343.9999,330.88,338.47,5770462
AMZN,2014/3/28,340.05,347,336.08,338.29,3986782
AMZN,2014/3/31,342.4,346.29,334.06,336.365,4297487
AMZN,2014/4/1,338.09,344.43,338,342.99,3602899
AMZN,2014/4/2,345.99,348.295,340.38,341.96,4465927
AMZN,2014/4/3,341.82,342.5,328.46,333.62,6399299
AMZN,2014/4/4,335.15,335.44,315.61,323,12534578
AMZN,2014/4/7,320.99,324.94,313.13,317.76,7077360
AMZN,2014/4/8,321.88,328,318.44,327.07,6585583
AMZN,2014/4/9,328.47,332.18,322.5,331.805,5058664
AMZN,2014/4/10,330.6,331,316.5,317.11,6133376
AMZN,2014/4/11,314,316.5,309.5,311.73,7292028
AMZN,2014/4/14,317.67,320.48,311.28,315.91,4293532
AMZN,2014/4/15,316.7,318.28,305.5,316.08,5399337
AMZN,2014/4/16,321.17,324,314.71,323.68,4285901
AMZN,2014/4/17,319.76,328.66,319.76,324.91,4300378
AMZN,2014/4/21,323.97,331.1499,322.31,330.87,3000598
AMZN,2014/4/22,332,337.5,328.94,329.32,3714288
AMZN,2014/4/23,333.06,333.13,323.39,324.58,3604586
AMZN,2014/4/24,329.67,337.4,322.95,337.15,9293735
AMZN,2014/4/25,316.25,316.49,302.71,303.83,16186737
AMZN,2014/4/28,304,304.39,288,296.58,14479803
AMZN,2014/4/29,296.44,301.84,290.45,300.38,6510591
AMZN,2014/4/30,298.1,304.56,298.1,304.13,4090006